New wave of british heavy,Heavy,,,
Extreme progressive,Progressive rock,Progressive,,
Heavy,Bay area thrash,,,
Thrash,Heavy,Hard rock,,
Melodic death,,,,
Thrash,,,,
Progressive death,Death,Progressive thrash,,
Progressive,,,,
Doom,Heavy,Hard rock,,
Symphonic power,Gothic,Symphonic,,
Extreme power,,,,
Heavy,Hard rock,,,
Power,Speed,,,
Gothenburg,Alternative,,,
Heavy,Groove thrash,Groove metal,,
Gothenburg,,,,
Atmospheric black,Neofolk,,,
Extreme folk,,,,
Gothenburg,,,,
Blackened doom,Death doom,Alternative rock,Gothic doom,
Death,Black,Blackened death,,
Symphonic black,Black,,,
Teutonic thrash,,,,
Extreme power,,,,
Melodic death,,,,
Death,Melodic death,Folk,Progressive,
Symphonic power,,,,
Progressive,Alternative,,,
Speed,Power,,,
Bay area thrash,,,,
Symphonic,,,,
Death,Black,,,
Groove thrash,,,,
Heavy,Us power,,,
Death doom,Atmospheric rock,Doom,,
Progressive,Symphonic power,,,
Celtic folk,Gothenburg,,,
Progressive death,,,,
Industrial,,,,
Power,,,,
Progressive stoner,Progressive sludge,,,
Brutal death,Technical death,,,
Alternative,Death,Groove thrash,Thrash,
Folk,Gothic black,Gothic,Symphonic black,Black
Death,Symphonic,,,
Death,,,,
Viking black,Progressive black,,,
Black,Symphonic black,,,
Progressive rock,Progressive,,,
Extreme gothic,Symphonic black,Death,Symphonic,
New wave of british heavy,Heavy,,,
Extreme progressive,Progressive rock,Progressive,,
Heavy,Bay area thrash,,,
Thrash,Heavy,Hard rock,,
Melodic death,,,,
Thrash,,,,
Progressive death,Death,Progressive thrash,,
Progressive,,,,
Doom,Heavy,Hard rock,,
Symphonic power,Gothic,Symphonic,,
Extreme power,,,,
Heavy,Hard rock,,,
Power,Speed,,,
Gothenburg,Alternative,,,
Heavy,Groove thrash,Groove metal,,
Gothenburg,,,,
Atmospheric black,Neofolk,,,
Extreme folk,,,,
Gothenburg,,,,
Blackened doom,Death doom,Alternative rock,Gothic doom,
Death,Black,Blackened death,,
Symphonic black,Black,,,
Teutonic thrash,,,,
Extreme power,,,,
Melodic death,,,,
Death,Melodic death,Folk,Progressive,
Symphonic power,,,,
Progressive,Alternative,,,
Speed,Power,,,
Bay area thrash,,,,
Symphonic,,,,
Death,Black,,,
Groove thrash,,,,
Heavy,Us power,,,
Death doom,Atmospheric rock,Doom,,
Progressive,Symphonic power,,,
Celtic folk,Gothenburg,,,
Progressive death,,,,
Industrial,,,,
Power,,,,
Progressive stoner,Progressive sludge,,,
Brutal death,Technical death,,,
Alternative,Death,Groove thrash,Thrash,
Folk,Gothic black,Gothic,Symphonic black,Black
Death,Symphonic,,,
Death,,,,
Viking black,Progressive black,,,
Black,Symphonic black,,,
Progressive rock,Progressive,,,
Extreme gothic,Symphonic black,Death,Symphonic,
Melodic death,,,,
Death doom,Gothic doom,,,
Progressive hard rock,Heavy,Blues rock,,
Heavy,Progressive,Thrash,,
Power,Heavy,,,
Gothic,Electro gothic,Death doom,,
Heavy,,,,
Extreme power,Melodic death,,,
Grindcore,Melodic death,,,
Black,Dark,Ambient,Ambient,
Thrash,Heavy,,,
Death,,,,
Technical thrash,Math,Progressive,,
Extreme folk,,,,
Atmospheric death,Symphonic death,,,
Viking folk,,,,
Groove thrash,Progressive thrash,,,
Alternative,,,,
Symphonic,Gothic,,,
Viking black,First wave of black,,,
Bay area thrash,,,,
Gothic doom,,,,
Alternative,Nu,,,
Hard rock,Blues rock,,,
Progressive,,,,
Melodic death,Melodic doom,,,
Power,,,,
Symphonic power,,,,
Death,Melodic death,Gothenburg,,
Heavy,,,,
Death,,,,
Folk,,,,
Heavy,Us power,,,
Power,,,,
Melodic death,Gothenburg,,,
Power,,,,
Death,Black,,,
Death,,,,
Symphonic power,,,,
Black,Gothic,,,
Atmospheric black,,,,
Teutonic thrash,,,,
Thrash,,,,
Melodic death,Melodic black,,,
Black,,,,
Progressive rock,,,,
Death,Black,Crust punk,Heavy,
Heavy,,,,
Industrial progressive,Progressive,,,
Black,Shoegaze,,,
Viking folk,,,,
Heavy,Hard rock,,,
Power,,,,
Gothenburg,,,,
Progressive,,,,
Metalcore,Alternative thrash,,,
Folk,,,,
Progressive folk,Death,Folk,,
Symphonic heavy,,,,
Heavy,,,,
Progressive power,,,,
Death,,,,
Grunge,Heavy,,,
Experimental death,Symphonic,,,
Nu,Alternative,,,
Power,,,,
Gothic,Alternative,,,
Heavy,,,,
Avantgarde black,Avantgarde,,,
Melodic death,,,,
Death,,,,
Progressive,Progressive rock,,,
Technical death,,,,
Industrial,Death,,,
Symphonic gothic,Gothic,,,
Technical death,,,,
Symphonic death,,,,
Black,Celtic folk,,,
Epic doom,,,,
Melodic death,Progressive power,,,
Extreme power,Melodic death,,,
Black,,,,
Thrash,Heavy,,,
Folk,Power,,,
Heavy,Psychedelic rock,,,
Folk,Electronic,Avantgarde,Black,
Progressive death,Progressive,,,
Extreme progressive,,,,
Gothic,Melodic death,Progressive,,
Progressive death,Technical death,,,
Nu,Alternative,,,
Progressive,Power,,,
Folk,,,,
Gothic,Doom,,,
Heavy,First wave of black,,,
Death,Gothic doom,,,
Death,Grindcore,,,
Progressive rock,Hard rock,Heavy,,
Hardcore,Grindcore,Punk,,
Viking black,,,,
Death,Suomi,Depressive heavy,Melodic death,
Death,Atmospheric gothic,,,
Melodic metalcore,,,,
Black,,,,
First wave of black,Avantgarde,Thrash,,
Hard rock,Heavy,,,
Brutal death,,,,
Death,,,,
Brutal death,Deathgrind,Technical death,,
Extreme power,,,,
Symphonic gothic,,,,
Progressive heavy,,,,
Doom,Folk,Neofolk,,
Hard rock,,,,
First wave of black,Heavy,,,
Black,,,,
Metalcore,Heavy,Alternative,,
Teutonic thrash,,,,
Progressive death,,,,
Symphonic gothic,Symphonic progressive,,,
Extreme progressive,Avantgarde,,,
Avantgarde,Symphonic,,,
Pagan folk,,,,
Progressive,,,,
Progressive metalcore,,,,
Bay area thrash,,,,
Heavy,,,,
Melodic metalcore,,,,
Heavy,,,,
Melodic black,Progressive black,,,
Post-metal,Atmospheric sludge,,,
Groove thrash,Nu,,,
Technical death,,,,
Nu,Melodic death,Groove thrash,,
Depressive black,Progressive black,,,
Industrial,Thrash,,,
Doom,Death doom,Atmospheric gothic,Experimental rock,
Black,Grindcore,,,
Post-metal,Alternative,,,
Symphonic,,,,
Black,,,,
New wave of british heavy,Heavy,,,
Technical thrash,Progressive thrash,,,
Death,,,,
Power,Heavy,,,
Gothenburg,,,,
Black,Electro industrial,,,
Melodic metalcore,,,,
Death,Death 'n' roll,,,
Progressive rock,,,,
Gothic,Symphonic,,,
Atmospheric black,Pagan black,,,
Progressive,Instrumental,Djent,,
Heavy,Progressive heavy,Progressive rock,,
Power,,,,
Black,Death,,,
